날짜,종가,오픈,고가,저가,거래량,변동 %
2017년 11월 19일,23.37,22.41,23.39,22.23,55.22M,4.47%
2017년 11월 12일,22.37,22.06,22.78,21.46,99.25M,0.36%
2017년 11월 05일,22.29,22.08,22.68,21.61,116.98M,0.77%
2017년 10월 29일,22.12,21.23,22.14,21.07,104.57M,3.95%
2017년 10월 22일,21.28,20.42,21.4,19.33,107.53M,4.88%
2017년 10월 15일,20.29,20.32,20.51,19.72,80.60M,0.59%
2017년 10월 08일,20.17,19.98,20.24,19.62,78.86M,1.41%
2017년 10월 01일,19.89,19.14,19.9,18.84,106.34M,4.46%
2017년 09월 24일,19.04,18.42,19.08,17.77,123.69M,2.09%
2017년 09월 17일,18.65,19.27,19.45,18.46,100.70M,-2.76%
2017년 09월 10일,19.18,18.94,19.42,18.91,90.79M,3.51%
2017년 09월 03일,18.53,19.05,19.18,18.28,93.09M,-3.64%
2017년 08월 27일,19.23,17.87,19.47,17.36,108.70M,8.58%
2017년 08월 20일,17.71,17.47,18.24,17.07,113.66M,1.55%
2017년 08월 13일,17.44,18.24,18.91,17.25,138.82M,-2.19%
2017년 08월 06일,17.83,18.56,19.17,17.38,131.62M,-3.36%
2017년 07월 30일,18.45,18.71,18.81,18.07,101.09M,-0.59%
2017년 07월 23일,18.56,18.67,19.39,17.94,125.63M,-0.64%
2017년 07월 16일,18.68,17.99,18.81,17.75,121.11M,4.18%
2017년 07월 09일,17.93,16.39,18,16.26,120.53M,9.80%
2017년 07월 02일,16.33,16.57,16.62,15.67,97.92M,0.31%
2017년 06월 25일,16.28,18,18.11,15.83,175.20M,-8.07%
2017년 06월 18일,17.71,17.09,17.78,17.02,104.43M,6.49%
2017년 06월 11일,16.63,16.73,17.5,16.23,166.74M,-3.37%
2017년 06월 04일,17.21,18.51,18.69,16.44,134.08M,-7.12%
2017년 05월 28일,18.53,17.65,18.54,17.43,77.36M,4.75%
2017년 05월 21일,17.69,16.58,17.73,16.56,85.52M,7.47%
2017년 05월 14일,16.46,16.81,17.16,15.77,119.97M,-1.97%
2017년 05월 07일,16.79,16.44,16.8,16.34,78.54M,2.25%
2017년 04월 30일,16.42,16.03,16.42,16.02,81.44M,3.34%
2017년 04월 23일,15.89,15.21,16.01,15.14,84.51M,7.95%
2017년 04월 16일,14.72,14.16,14.83,14.14,70.29M,4.84%
2017년 04월 09일,14.04,14.61,14.75,14.03,65.80M,-3.57%
2017년 04월 02일,14.56,14.74,15.06,14.4,68.38M,-0.95%
2017년 03월 26일,14.7,13.84,14.82,13.74,78.63M,4.03%
2017년 03월 19일,14.13,14.5,14.75,13.84,78.10M,-2.55%
2017년 03월 12일,14.5,14.3,14.65,14.12,56.23M,1.33%
2017년 03월 05일,14.31,14.06,14.39,13.93,52.12M,0.70%
